StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,s1d100_1,s1d2_2,s1d3_1,s1d4_1,s1d5_1,s1d6_1,s1d7_1,s1d8_1,s1d9_1,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,s1d4retest_1,s2d1_1,s2d2_1,s2d3_1,s2d4_1,s2d5_1,s2d6_1,s2d7_1,s2d8_1,s2d9_1,s2d4retest_1,FL_8_DO_FL_9,FL_8_DO_FL_10,SCALE1_DO_s1d100,SCALE1_DO_s1d3,SCALE1_DO_s1d4,SCALE1_DO_s1d8,SCALE1_DO_s1d9,SCALE1_DO_s1d7,SCALE1_DO_s1d2,SCALE1_DO_s1d5,SCALE1_DO_s1d6,SCALE2_DO_s2d7,SCALE2_DO_s2d6,SCALE2_DO_s2d5,SCALE2_DO_s2d4,SCALE2_DO_s2d3,SCALE2_DO_s2d2,SCALE2_DO_s2d1,SCALE2_DO_s2d9,SCALE2_DO_s2d8
2025-11-17T13:36:29Z,2025-11-17T13:39:06Z,IP Address,192.41.125.253,100,156,TRUE,2025-11-17T13:39:06Z,R_2DFM7dyn0rkiM8h,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,21,7,20,40,37,82,96,100,100,29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,8,3,6,7,1,2,9
2025-11-17T13:35:34Z,2025-11-17T13:39:14Z,IP Address,192.41.125.254,100,220,TRUE,2025-11-17T13:39:14Z,R_2mXDWZF73moDDTz,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,10,21,31,35,43,67,83,89,95,High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,6,8,5,4,1,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:45Z,2025-11-17T13:39:18Z,IP Address,192.41.125.249,100,213,TRUE,2025-11-17T13:39:18Z,R_826nu9BwZYEO3ur,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,8,22,58,39,41,73,88,100,100,58,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,7,5,1,6,9,4,3
2025-11-17T13:35:40Z,2025-11-17T13:39:28Z,IP Address,192.41.125.255,100,227,TRUE,2025-11-17T13:39:28Z,R_22DIqrMSKukCipK,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,2,51,32,57,56,79,85,98,97,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,5,9,8,3,6,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:44Z,2025-11-17T13:39:58Z,IP Address,192.41.125.249,100,254,TRUE,2025-11-17T13:39:59Z,R_21PAZtXVELSHgYx,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),NA,15,21,71,53,54,80,88,95,94,36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,9,2,5,3,4,6,8
2025-11-17T13:35:36Z,2025-11-17T13:40:03Z,IP Address,192.41.125.254,100,266,TRUE,2025-11-17T13:40:03Z,R_2173XrRC2Dc1bgG,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),NA,7,18,59,28,56,72,90,99,93,53,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,3,7,1,6,9,2,5
2025-11-17T13:35:47Z,2025-11-17T13:40:07Z,IP Address,148.252.133.187,100,260,TRUE,2025-11-17T13:40:08Z,R_2bZ6CJcG8xYZ5tE,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN-GB,3,10,18,24,30,55,75,82,94,High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,9,5,2,8,4,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:33Z,2025-11-17T13:40:10Z,IP Address,192.41.125.253,100,277,TRUE,2025-11-17T13:40:11Z,R_2TyqULvWaeTPD5D,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Almost None (Almost forgotten),NA,0,45,29,36,45,52,91,94,100,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6,7,3,1,5,9,2
2025-11-17T13:35:48Z,2025-11-17T13:40:19Z,IP Address,192.41.125.254,100,270,TRUE,2025-11-17T13:40:19Z,R_8fOlw4az40JEBgd,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,12,18,27,35,39,61,92,95,88,World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,4,2,9,1,7,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:43Z,2025-11-17T13:40:25Z,IP Address,192.41.125.249,100,282,TRUE,2025-11-17T13:40:26Z,R_2q2ksDkojxBg6ZD,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),NA,1,5,25,24,47,58,69,89,97,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,4,1,8,9,7,5
2025-11-17T13:35:35Z,2025-11-17T13:40:34Z,IP Address,192.41.125.255,100,298,TRUE,2025-11-17T13:40:35Z,R_8gX7D8qaAtqtDir,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,8,10,23,32,16,39,53,64,77,High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,1,7,2,9,5,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:37Z,2025-11-17T13:41:36Z,IP Address,192.41.125.255,100,358,TRUE,2025-11-17T13:41:37Z,R_8ItqUKEncenCq9W,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),NA,18,17,27,35,32,59,91,100,100,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,7,2,6,5,1,8,4
