motiv,funding,schoolid,grade
3.33,state,Montrose Academy,40.99
4.18,state,Montrose Academy,56.14
5.15,state,Jordanhill School,56.76
6.07,state,Jordanhill School,42.03
5.41,state,Jordanhill School,62.19
5.26,state,Jordanhill School,50.38
5.73,state,Jordanhill School,43.88
6.6,state,Jordanhill School,43.12
5.93,state,Jordanhill School,53.46
6.59,state,Jordanhill School,35.63
5.75,state,Jordanhill School,62.53
6.79,state,Jordanhill School,58.3
5.52,state,Jordanhill School,32.89
2.37,state,Jordanhill School,48.17
7.01,state,Jordanhill School,58.18
5.33,state,Jordanhill School,45.9
4.82,state,Jordanhill School,20.21
5.57,state,Jordanhill School,48.92
6.15,state,Jordanhill School,43.73
4.42,state,Jordanhill School,58.36
5.64,state,Jordanhill School,53.14
5.8100000000000005,state,Jordanhill School,50.31
5.92,state,Jordanhill School,49.2
6.27,state,Jordanhill School,52.03
6.92,state,Jordanhill School,58.28
4.35,state,Jordanhill School,44.3
4.98,state,Jordanhill School,42.42
5.38,state,Jordanhill School,28.88
5.13,state,Jordanhill School,49.56
5.75,state,Jordanhill School,48.68
4.64,state,Jordanhill School,59.78
5.62,state,Jordanhill School,58.31
5.06,private,Penicuik High School,63.43
4.84,private,Penicuik High School,65.92
4.89,private,Penicuik High School,69.1
4.1,private,Penicuik High School,69.17
5.26,private,Penicuik High School,57.34
3.1799999999999997,private,Penicuik High School,49.92
4.88,private,Penicuik High School,49.23
5,private,Penicuik High School,46.2
4.69,private,Penicuik High School,54.57
4.23,private,Penicuik High School,58.3
5.5600000000000005,private,Penicuik High School,72.89
3.5700000000000003,private,Penicuik High School,52.21
4.51,private,Penicuik High School,64.59
4.99,private,Penicuik High School,71.42
5.15,private,Penicuik High School,68.74
4.51,private,Penicuik High School,49.65
4.65,private,Penicuik High School,70.37
4.23,private,Penicuik High School,41.19
5.5,private,Penicuik High School,73.78
4.83,private,Penicuik High School,45.76
4,private,Penicuik High School,44.97
5.48,private,Penicuik High School,64.93
4.35,private,Penicuik High School,65.71
4.54,private,Penicuik High School,62.54
4.1899999999999995,private,Penicuik High School,58.77
3.3600000000000003,private,Penicuik High School,59.19
4.46,private,Penicuik High School,73.58
6.61,private,Penicuik High School,71.52
3.59,private,Penicuik High School,55.64
4.99,private,Penicuik High School,50.43
6.8,state,St Matthew's Academy,67.58
5.37,state,St Matthew's Academy,29.26
5.91,state,St Matthew's Academy,50.47
7.93,state,St Matthew's Academy,74.51
4.61,state,St Matthew's Academy,43.72
5.72,state,St Matthew's Academy,54.93
4.54,state,St Matthew's Academy,45.21
5.8,state,St Matthew's Academy,55.99
6.11,state,St Matthew's Academy,40.86
5.45,state,St Matthew's Academy,30.13
4.72,state,St Matthew's Academy,24.33
2.99,state,St Matthew's Academy,46.51
5.37,state,St Matthew's Academy,58.82
5.64,state,St Matthew's Academy,60.43
5.63,state,St Matthew's Academy,54.15
6.65,state,St Matthew's Academy,55.62
5.4,state,St Matthew's Academy,61.48
4.28,state,St Matthew's Academy,48.34
4.27,state,St Matthew's Academy,29.82
6.27,state,St Matthew's Academy,59.93
6.5,state,St Matthew's Academy,71.48
5.48,state,St Matthew's Academy,43.42
4.63,state,St Matthew's Academy,34.02
6.93,state,St Matthew's Academy,93.19
4.54,state,St Matthew's Academy,62.99
3.91,state,St Matthew's Academy,28.97
4.56,state,St Matthew's Academy,36.85
5.33,state,St Matthew's Academy,51.83
5.84,state,St Matthew's Academy,46.84
6.95,state,St Matthew's Academy,49.86
4.96,state,Ardnamurchan High School,36.03
4.55,state,Ardnamurchan High School,23.58
6.47,state,Ardnamurchan High School,92.97
4.82,state,Ardnamurchan High School,48.77
5.43,state,Ardnamurchan High School,39.79
5.73,state,Ardnamurchan High School,60.64
5.75,state,Ardnamurchan High School,43.23
4.84,state,Ardnamurchan High School,51.97
4.38,state,Ardnamurchan High School,41.75
4.69,state,Ardnamurchan High School,66.63
4.75,state,Ardnamurchan High School,62
4.18,state,Ardnamurchan High School,42.44
2.34,state,Ardnamurchan High School,31.02
4.92,state,Ardnamurchan High School,59.29
5.24,state,Ardnamurchan High School,38.86
6.1899999999999995,state,Ardnamurchan High School,48.9
4.85,state,Ardnamurchan High School,43.79
4.07,state,Ardnamurchan High School,37.21
5.35,state,Ardnamurchan High School,77.54
5.65,state,Ardnamurchan High School,47.84
6.09,state,Ardnamurchan High School,53.46
3.88,state,Ardnamurchan High School,43.26
5.29,state,Ardnamurchan High School,33.44
6.1,state,Ardnamurchan High School,58.38
5.45,state,Ardnamurchan High School,36.2
5.42,state,Ardnamurchan High School,33.74
4.69,state,Ardnamurchan High School,48.48
3.42,state,Ardnamurchan High School,41.1
5.45,state,Ardnamurchan High School,28.52
3.91,state,Ardnamurchan High School,51.34
6.2,state,Stirling High School,53.53
5.3,state,Stirling High School,54.71
3.48,state,Stirling High School,59.03
5.84,state,Stirling High School,43.35
4.41,state,Stirling High School,62.34
3.9299999999999997,state,Stirling High School,61.35
4.53,state,Stirling High School,56.76
5.98,state,Stirling High School,76.6
5.35,state,Stirling High School,56.29
5.48,state,Stirling High School,62.51
4.09,state,Stirling High School,67.48
6.02,state,Stirling High School,69.47
4.8,state,Stirling High School,50.62
5.01,state,Stirling High School,62.52
3.95,state,Stirling High School,50.48
5.03,state,Stirling High School,56.64
5.47,state,Stirling High School,44.35
6.58,state,Stirling High School,43.2
4.69,state,Stirling High School,41.6
6.72,state,Stirling High School,63.45
5.31,state,Stirling High School,33.57
5.57,state,Stirling High School,56.52
5.5,state,Stirling High School,53.95
4.27,state,Stirling High School,38.36
4.79,state,Stirling High School,46.43
3.4699999999999998,state,Stirling High School,40.57
5.42,state,Stirling High School,72.34
4.71,state,Stirling High School,51.15
3.13,state,Stirling High School,35
4.55,state,Stirling High School,41.79
6.3,state,Hutchesons' Grammar School,46.11
5.83,state,Hutchesons' Grammar School,37.6
5.18,state,Hutchesons' Grammar School,38.49
6.67,state,Hutchesons' Grammar School,48.8
5.66,state,Hutchesons' Grammar School,42.58
4.87,state,Hutchesons' Grammar School,54.35
6.05,state,Hutchesons' Grammar School,49.24
6.76,state,Hutchesons' Grammar School,29.8
5.6899999999999995,state,Hutchesons' Grammar School,30.68
3.88,state,Hutchesons' Grammar School,59.48
5.79,state,Hutchesons' Grammar School,27.65
5.17,state,Hutchesons' Grammar School,44.91
4.04,state,Hutchesons' Grammar School,32.67
7.04,state,Hutchesons' Grammar School,53.03
6.13,state,Hutchesons' Grammar School,46.59
5.51,state,Hutchesons' Grammar School,63.13
7.49,state,Hutchesons' Grammar School,65.7
5.59,state,Hutchesons' Grammar School,53.94
6.68,state,Hutchesons' Grammar School,54.84
7.51,state,Hutchesons' Grammar School,28.91
8.42,state,Hutchesons' Grammar School,30.25
5.62,state,Hutchesons' Grammar School,45.33
7.83,state,Hutchesons' Grammar School,53.97
7.32,state,Hutchesons' Grammar School,29.34
4.1899999999999995,state,Hutchesons' Grammar School,33.71
5.95,state,Hutchesons' Grammar School,41.95
6.58,state,Hutchesons' Grammar School,48.96
4.59,state,Hutchesons' Grammar School,37.03
6.5600000000000005,state,Hutchesons' Grammar School,26.71
5.63,state,Hutchesons' Grammar School,75.89
